no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
827.0,82110-79J00-000,"LATCH COMP,HOOD",Sedang,Tinggi,Mahal,Critical,laris
988.0,46221-80J01-000,"BEARING,28X58X16",Sedang,Tinggi,Murah,Critical,laris
829.0,88910-80J00-P8G,"SHELF COMP,RR PARCEL",Dikit,Rendah,Mahal,Slow,tidak laris
879.0,11610-75F50-000,SENSOR,Sedang,Tinggi,Murah,Critical,laris
831.0,95710-80J00-000,"HOSE,SUCTION",Sedang,Tinggi,Mahal,Fast,laris
832.0,95720-80J00-000,"HOSE,DISCHARGE",Sedang,Tinggi,Mahal,Fast,laris
833.0,95860-80J00-000,FILTER COMP,Banyak,Tinggi,Murah,Fast,laris
834.0,71760-80J00-5PK,"EXTENSION,FR BUMPER CTR(BLACK)",Dikit,Rendah,Mahal,Slow,tidak laris
835.0,82831-63J20-000,"FRAME S/COMP,REAR DOOR OUT R",Sedang,Tinggi,Mahal,Critical,laris
836.0,83811-80J00-000,"WEATHERSTRIP,FR DOOR OUT R",Sedang,Rendah,Murah,Slow,laris
837.0,83821-80J00-000,"WEATERSTRIP,FR DOOR OUT L",Dikit,Rendah,Murah,Slow,laris
838.0,83831-80J00-000,"WEATERSTRIP,REAR DOOR OUT R",Sedang,Rendah,Murah,Slow,laris
839.0,83841-80J00-000,"WEATERSTRIP,REAR DOOR OUT L",Sedang,Rendah,Murah,Slow,laris
840.0,83970-79J10-000,"GARNISH COMP,RR DR RR OUTER R",Sedang,Tinggi,Murah,Slow,laris
841.0,84592-80J00-000,"GARNISH,QTR WINDOW GLASS L",Sedang,Tinggi,Murah,Slow,laris
842.0,84730-80J00-000,"MIRROR COMP,OUT REAR VIEW R",Sedang,Rendah,Murah,Slow,laris
843.0,84740-80J00-000,"MIRROR COMP,OUT REAR VIEW L",Sedang,Tinggi,Murah,Slow,laris
844.0,45151-80J52-000,"KNUCKLE,STEERING,L",Dikit,Rendah,Mahal,Critical,laris
845.0,95200-63JA1-000,COMPRESSOR ASSY,Dikit,Rendah,Mahal,Critical,laris
846.0,77330-80J00-000,"OUTLET,VENTILATOR",Sedang,Rendah,Murah,Slow,laris
847.0,78210-80J00-N1V,"RAIL COMP,ROOF,R",Dikit,Rendah,Mahal,Slow,tidak laris
848.0,44102-54G51-000,"SHAFT ASSY,FRONT DRIVE,L",Dikit,Rendah,Mahal,Critical,laris
849.0,24111-65J01-000,"SHAFT,TRANSMISSION INPUT",Dikit,Rendah,Mahal,Critical,laris
850.0,28300-54G4V-000,"CABLE ASSY,SHF & SELECT CONT",Dikit,Rendah,Mahal,Critical,laris
851.0,89300-61881-000,"CAP SET,FUEL FILLER",Sedang,Tinggi,Mahal,Slow,laris
852.0,15100-8081V-000,DIAPHRAGM SET,Sedang,Tinggi,Murah,Critical,laris
853.0,72410-65J01-000,"GARNISH COMP,FRT HOOD, R",Banyak,Tinggi,Murah,Slow,laris
854.0,38821-65J00-000,"ARM ASSY,RR WIPER",Banyak,Tinggi,Murah,Slow,laris
855.0,72420-65J01-000,"GARNISH,FRT HOOD, L",Dikit,Rendah,Murah,Slow,laris
856.0,12841-60A30-000,"ARM,VALVE ROCKER",Sedang,Tinggi,Murah,Critical,laris
697.0,55201-50J00-000,"BUSHING,STEERING RACK",Dikit,Tinggi,Murah,Critical,laris
858.0,75511-56K00-000,"LINING, RR FENDER, R",Dikit,Rendah,Mahal,Slow,tidak laris
859.0,17700-66D02-000,RADIATOR ASSY,Dikit,Rendah,Mahal,Critical,laris
860.0,35650-73K00-000,"LAMP UNIT,RR COMB RH",Sedang,Rendah,Mahal,Slow,tidak laris
861.0,35670-73K00-000,"LAMP UNIT,RR COMB LH",Dikit,Rendah,Mahal,Slow,tidak laris
862.0,71741-73K00-5PK,"GRILLE, RADIATOR (TYPE 3)",Sedang,Tinggi,Mahal,Slow,laris
863.0,71821-73K10-000,"HOLDER, RR BUMPER SIDE RH (TYPE 3)",Dikit,Rendah,Murah,Slow,laris
864.0,71822-73K10-000,"HOLDER, RR BUMPER SIDE LH (TYPE 3)",Sedang,Rendah,Murah,Slow,laris
